Superlattice vectors (celldm1 units):
Mo -76.734000 67.809789 5.889524
S1 -76.734000 71.426311 4.344408
S2 -76.734000 71.426311 7.434640
Mo -78.300000 70.522180 5.889524
S1 -78.300000 74.138702 4.344408
S2 -78.300000 74.138702 7.434640
Mo -79.866000 73.234572 5.889524
S1 -79.866000 76.851094 4.344408
S2 -79.866000 76.851094 7.434640
Mo -81.432000 75.946963 5.889524
S1 -81.432000 79.563486 4.344408
S2 -81.432000 79.563486 7.434640
Mo -82.998000 78.659355 5.889524
S1 -82.998000 82.275877 4.344408
S2 -82.998000 82.275877 7.434640
Mo -84.564000 81.371747 5.889524
S1 -84.564000 84.988269 4.344408
S2 -84.564000 84.988269 7.434640
Mo -86.130000 84.084138 5.889524
S1 -86.130000 87.700660 4.344408
S2 -86.130000 87.700660 7.434640
Mo -87.696000 86.796530 5.889524
S1 -87.696000 90.413052 4.344408
S2 -87.696000 90.413052 7.434640
Mo -89.262000 89.508921 5.889524
S1 -89.262000 93.125443 4.344408
S2 -89.262000 93.125443 7.434640
Mo -90.828000 92.221313 5.889524
S1 -90.828000 95.837835 4.344408
S2 -90.828000 95.837835 7.434640
Mo -92.394000 94.933704 5.889524
S1 -92.394000 98.550226 4.344408
S2 -92.394000 98.550226 7.434640
Mo -93.960000 97.646096 5.889524
S1 -93.960000 101.262618 4.344408
S2 -93.960000 101.262618 7.434640
Mo -95.526000 100.358487 5.889524
S1 -95.526000 103.975010 4.344408
S2 -95.526000 103.975010 7.434640
Mo -97.092000 103.070879 5.889524
S1 -97.092000 106.687401 4.344408
S2 -97.092000 106.687401 7.434640
Mo -98.658000 105.783271 5.889524
S1 -98.658000 109.399793 4.344408
S2 -98.658000 109.399793 7.434640
Mo -100.224000 108.495662 5.889524
S1 -100.224000 112.112184 4.344408
S2 -100.224000 112.112184 7.434640
Mo -101.790000 111.208054 5.889524
S1 -101.790000 114.824576 4.344408
S2 -101.790000 114.824576 7.434640
Mo -103.356000 113.920445 5.889524
S1 -103.356000 117.536967 4.344408
S2 -103.356000 117.536967 7.434640
Mo -104.922000 116.632837 5.889524
S1 -104.922000 120.249359 4.344408
S2 -104.922000 120.249359 7.434640
S1 -45.414000 22.603263 4.344408
S2 -45.414000 22.603263 7.434640
S1 -46.980000 25.315654 4.344408
S2 -46.980000 25.315654 7.434640
Mo -48.546000 24.411524 5.889524
S1 -48.546000 28.028046 4.344408
S2 -48.546000 28.028046 7.434640
Mo -50.112000 27.123916 5.889524
S1 -50.112000 30.740438 4.344408
S2 -50.112000 30.740438 7.434640
Mo -51.678000 29.836307 5.889524
S1 -51.678000 33.452829 4.344408
S2 -51.678000 33.452829 7.434640
Mo -53.244000 32.548699 5.889524
S1 -53.244000 36.165221 4.344408
S2 -53.244000 36.165221 7.434640
Mo -54.810000 35.261090 5.889524
