Superlattice vectors (celldm1 units):
Mo -20.254000 29.683887 5.889524
S1 -20.254000 33.281933 4.344408
S2 -20.254000 33.281933 7.434640
Mo -21.812000 32.382422 5.889524
S1 -21.812000 35.980469 4.344408
S2 -21.812000 35.980469 7.434640
Mo -23.370000 35.080957 5.889524
S1 -23.370000 38.679004 4.344408
S2 -23.370000 38.679004 7.434640
Mo -24.928000 37.779492 5.889524
S1 -24.928000 41.377539 4.344408
S2 -24.928000 41.377539 7.434640
Mo -26.486000 40.478027 5.889524
S1 -26.486000 44.076074 4.344408
S2 -26.486000 44.076074 7.434640
Mo -28.044000 43.176562 5.889524
Mo -29.602000 45.875097 5.889524
Mo -3.116000 5.397070 5.889524
S1 -3.116000 8.995117 4.344408
S2 -3.116000 8.995117 7.434640
Mo -4.674000 8.095605 5.889524
S1 -4.674000 11.693652 4.344408
S2 -4.674000 11.693652 7.434640
Mo -6.232000 10.794141 5.889524
S1 -6.232000 14.392187 4.344408
S2 -6.232000 14.392187 7.434640
Mo -7.790000 13.492676 5.889524
S1 -7.790000 17.090723 4.344408
S2 -7.790000 17.090723 7.434640
Mo -9.348000 16.191211 5.889524
S1 -9.348000 19.789258 4.344408
S2 -9.348000 19.789258 7.434640
Mo -10.906000 18.889746 5.889524
S1 -10.906000 22.487793 4.344408
S2 -10.906000 22.487793 7.434640
Mo -12.464000 21.588281 5.889524
S1 -12.464000 25.186328 4.344408
S2 -12.464000 25.186328 7.434640
Mo -14.022000 24.286816 5.889524
S1 -14.022000 27.884863 4.344408
S2 -14.022000 27.884863 7.434640
Mo -15.580000 26.985351 5.889524
S1 -15.580000 30.583398 4.344408
S2 -15.580000 30.583398 7.434640
Mo -17.138000 29.683887 5.889524
S1 -17.138000 33.281933 4.344408
S2 -17.138000 33.281933 7.434640
Mo -18.696000 32.382422 5.889524
S1 -18.696000 35.980469 4.344408
S2 -18.696000 35.980469 7.434640
Mo -20.254000 35.080957 5.889524
S1 -20.254000 38.679004 4.344408
S2 -20.254000 38.679004 7.434640
